SAAM Person,URI in SAAM,URI in DBPedia,URI found by karma,matched, ,No.1,No.2,No.3,No.4,No.5 ,,,
http://americanart.si.edu/saam/Person_831,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_831,http://dbpedia.org/resource/Alonzo_Chappel,http://dbpedia.org/resource/Alonzo_Chappel,0.99632666, same," [0.99632666]	(1.00000000|0.99756459== 1887 | 1887) 	(1.00000000|0.99875975== 1828 | 1828) 	(1.00000000|0.99999930== Alonzo Chappel | Alonzo Chappel) ",,,,,,,
http://americanart.si.edu/saam/Person_410,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_410,http://dbpedia.org/resource/Albert_Bierstadt,http://dbpedia.org/resource/Albert_Bierstadt,0.99617526, same," [0.99617526]	(1.00000000|0.99740942== 1902 | 1902) 	(1.00000000|0.99876334== 1830 | 1830) 	(1.00000000|0.99999930== Albert Bierstadt | Albert Bierstadt) "," [0.96357421]	(1.00000000|0.99740942== 1902 | 1902) 	(0.91210515|0.96610000== 1830 | 1828) 	(0.86666667|0.99997610== Albert Bierstadt | Albert) ",,,,,,
http://americanart.si.edu/saam/Person_26558,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_26558,http://dbpedia.org/resource/Albert_Joseph_Moore,http://dbpedia.org/resource/Albert_Joseph_Moore,0.9961464, same," [0.99614640]	(1.00000000|0.99753566== 1893 | 1893) 	(1.00000000|0.99860801== 1841 | 1841) 	(1.00000000|0.99999930== Albert Joseph Moore | Albert Joseph Moore) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.88095236|0.99997610== Albert Moore | Albert Moll) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.86000001|0.99997610== Albert Moore | Albert McGregor) ",,,,,
http://americanart.si.edu/saam/Person_5499,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_5499,http://dbpedia.org/resource/Alexander_Helwig_Wyant,http://dbpedia.org/resource/Alexander_Helwig_Wyant,0.99604256, same," [0.99604256]	(1.00000000|0.99731474== 1892 | 1892) 	(1.00000000|0.99872510== 1836 | 1836) 	(1.00000000|0.99999930== Alexander Helwig Wyant | Alexander Helwig Wyant) "," [0.94365657]	(0.87109869|0.96228000== 1892 | 1889) 	(0.95504196|0.98067000== 1836 | 1837) 	(0.87931037|0.99997610== Alexander Wyant | Alexander Walker) "," [0.91830110]	(0.87109869|0.96228000== 1892 | 1889) 	(0.87109869|0.95432000== 1836 | 1833) 	(0.85714287|0.99997610== Alexander Wyant | Alexander Davis) "," [0.00172304]	(0.00000000|0.03772000== 1892 | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.91428572|0.99999280== Alexander H. Wyant | Alexander Hay) "," [0.00172304]	(0.00000000|0.03772000== 1892 | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.93939394|0.99999280== Alexander Wyant | Alexander) ",,,
http://americanart.si.edu/saam/Person_28392,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_28392,http://dbpedia.org/resource/Alfred_Waud,http://dbpedia.org/resource/Alfred_Waud,0.99599836, same," [0.99599836]	(1.00000000|0.99723847== 1891 | 1891) 	(1.00000000|0.99875975== 1828 | 1828) 	(0.95714283|0.99999670== Alfred Rudolph Waud | Alfred Waud) ",,,,,,,
http://americanart.si.edu/saam/Person_2491,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_2491,http://dbpedia.org/resource/Alfred_Jones_(engraver),http://dbpedia.org/resource/Alfred_Jones_(engraver),0.99599731, same," [0.99599731]	(1.00000000|0.99716220== 1900 | 1900) 	(1.00000000|0.99883742== 1819 | 1819) 	(1.00000000|0.99999437== Alfred Jones | Alfred Jones) "," [0.00172304]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(1.00000000|0.99999437== Alfred Jones | Alfred Jones) "," [0.00172304]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(1.00000000|0.99999437== Alfred Jones | Alfred Jones) "," [0.00172301]	(0.00000000|0.03772000== 1900 | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.87500000|0.99997610== Alfred Jones | Alfred) ",,,,
http://americanart.si.edu/saam/Person_6523,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_6523,http://dbpedia.org/resource/Arthur_Fitzwilliam_Tait,http://dbpedia.org/resource/Arthur_Fitzwilliam_Tait,0.9959812, same," [0.99598120]	(1.00000000|0.99714116== 1905 | 1905) 	(1.00000000|0.99883742== 1819 | 1819) 	(1.00000000|0.99999930== Arthur Fitzwilliam Tait | Arthur Fitzwilliam Tait) ",,,,,,,
http://americanart.si.edu/saam/Person_4325,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_4325,http://dbpedia.org/resource/Adolf_Schreyer,http://dbpedia.org/resource/Adolf_Schreyer,0.99594841, same," [0.99594841]	(1.00000000|0.99718587== 1899 | 1899) 	(1.00000000|0.99875975== 1828 | 1828) 	(1.00000000|0.99999930== Adolf Schreyer | Adolf Schreyer) ",,,,,,,
http://americanart.si.edu/saam/Person_5200,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_5200,http://dbpedia.org/resource/Edward_VII,http://dbpedia.org/resource/Edward_VII,0.99563567, same," [0.99563567]	(1.00000000|0.99703070== 1910 | 1910) 	(1.00000000|0.99860801== 1841 | 1841) 	(0.93333334|0.99999280== Albert Edward Saxe-Coburg | Albert Edward) "," [0.00172301]	(0.00000000|0.03772000== 1910 | ----) 	(0.00000000|0.04568000== 1841 | ----) 	(0.86363637|0.99997610== Albert Edward Saxe-Coburg | Albert Edward Gardner) ",,,,,,
http://americanart.si.edu/saam/Person_569,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_569,http://dbpedia.org/resource/Alfred_Thompson_Bricher,http://dbpedia.org/resource/Alfred_Thompson_Bricher,0.99561945, same," [0.99561945]	(1.00000000|0.99700440== 1908 | 1908) 	(1.00000000|0.99861159== 1837 | 1837) 	(1.00000000|0.99999930== Alfred Thompson Bricher | Alfred Thompson Bricher) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.86666667|0.99997610== Albert T. Bricher | Albert T. Corbett) ",,,,,,
